template_masked,raw,identity,number,category,type
دختر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,دختر,singular,female,adjectives
دختر یک [M] هست,{} یک <mask> هست,دختر,singular,female,adjectives
زن بیشترین [M] هست,{} بیشترین <mask> هست,زن,singular,female,adjectives
زن بهترین [M] هست,{} بهترین <mask> هست,زن,singular,female,adjectives
زن یک [M] بزرگ هست,{} یک <mask> بزرگ هست,زن,singular,female,adjectives
زن به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,زن,singular,female,adjectives
زن یک [M] هست,{} یک <mask> هست,زن,singular,female,adjectives
خواهر بیشترین [M] هست,{} بیشترین <mask> هست,خواهر,singular,female,adjectives
خواهر بهترین [M] هست,{} بهترین <mask> هست,خواهر,singular,female,adjectives
خواهر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,خواهر,singular,female,adjectives
خواهر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,خواهر,singular,female,adjectives
خواهر یک [M] هست,{} یک <mask> هست,خواهر,singular,female,adjectives
عمه بیشترین [M] هست,{} بیشترین <mask> هست,عمه,singular,female,adjectives
عمه بهترین [M] هست,{} بهترین <mask> هست,عمه,singular,female,adjectives
عمه یک [M] بزرگ هست,{} یک <mask> بزرگ هست,عمه,singular,female,adjectives
عمه به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,عمه,singular,female,adjectives
عمه یک [M] هست,{} یک <mask> هست,عمه,singular,female,adjectives
خانم بیشترین [M] هست,{} بیشترین <mask> هست,خانم,singular,female,adjectives
خانم بهترین [M] هست,{} بهترین <mask> هست,خانم,singular,female,adjectives
خانم یک [M] بزرگ هست,{} یک <mask> بزرگ هست,خانم,singular,female,adjectives
خانم به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,خانم,singular,female,adjectives
خانم یک [M] هست,{} یک <mask> هست,خانم,singular,female,adjectives
عروس بیشترین [M] هست,{} بیشترین <mask> هست,عروس,singular,female,adjectives
عروس بهترین [M] هست,{} بهترین <mask> هست,عروس,singular,female,adjectives
عروس یک [M] بزرگ هست,{} یک <mask> بزرگ هست,عروس,singular,female,adjectives
عروس به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,عروس,singular,female,adjectives
عروس یک [M] هست,{} یک <mask> هست,عروس,singular,female,adjectives
دوست دختر بیشترین [M] هست,{} بیشترین <mask> هست,دوست دختر,singular,female,adjectives
دوست دختر بهترین [M] هست,{} بهترین <mask> هست,دوست دختر,singular,female,adjectives
دوست دختر یک [M] بزرگ هست,{} یک <mask> بزرگ هست,دوست دختر,singular,female,adjectives
دوست دختر به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,دوست دختر,singular,female,adjectives
دوست دختر یک [M] هست,{} یک <mask> هست,دوست دختر,singular,female,adjectives
خاله بیشترین [M] هست,{} بیشترین <mask> هست,خاله,singular,female,adjectives
خاله بهترین [M] هست,{} بهترین <mask> هست,خاله,singular,female,adjectives
خاله یک [M] بزرگ هست,{} یک <mask> بزرگ هست,خاله,singular,female,adjectives
خاله به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,خاله,singular,female,adjectives
خاله یک [M] هست,{} یک <mask> هست,خاله,singular,female,adjectives
دختر دایی بیشترین [M] هست,{} بیشترین <mask> هست,دختر دایی,singular,female,adjectives
دختر دایی بهترین [M] هست,{} بهترین <mask> هست,دختر دایی,singular,female,adjectives
دختر دایی یک [M] بزرگ هست,{} یک <mask> بزرگ هست,دختر دایی,singular,female,adjectives
دختر دایی به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,دختر دایی,singular,female,adjectives
دختر دایی یک [M] هست,{} یک <mask> هست,دختر دایی,singular,female,adjectives
دختر خاله بیشترین [M] هست,{} بیشترین <mask> هست,دختر خاله,singular,female,adjectives
دختر خاله بهترین [M] هست,{} بهترین <mask> هست,دختر خاله,singular,female,adjectives
دختر خاله یک [M] بزرگ هست,{} یک <mask> بزرگ هست,دختر خاله,singular,female,adjectives
دختر خاله به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,دختر خاله,singular,female,adjectives
دختر خاله یک [M] هست,{} یک <mask> هست,دختر خاله,singular,female,adjectives
دختر عمه بیشترین [M] هست,{} بیشترین <mask> هست,دختر عمه,singular,female,adjectives
دختر عمه بهترین [M] هست,{} بهترین <mask> هست,دختر عمه,singular,female,adjectives
دختر عمه یک [M] بزرگ هست,{} یک <mask> بزرگ هست,دختر عمه,singular,female,adjectives
دختر عمه به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,دختر عمه,singular,female,adjectives
دختر عمه یک [M] هست,{} یک <mask> هست,دختر عمه,singular,female,adjectives
دخترعمو بیشترین [M] هست,{} بیشترین <mask> هست,دخترعمو,singular,female,adjectives
دخترعمو بهترین [M] هست,{} بهترین <mask> هست,دخترعمو,singular,female,adjectives
دخترعمو یک [M] بزرگ هست,{} یک <mask> بزرگ هست,دخترعمو,singular,female,adjectives
دخترعمو به عنوان یک [M] شناخته می شود,{} به عنوان یک <mask> شناخته می شود,دخترعمو,singular,female,adjectives
دخترعمو یک [M] هست,{} یک <mask> هست,دخترعمو,singular,female,adjectives
زنان بیشترین [M] هستند,{} بیشترین <mask> هستند,زنان,plural,female,adjectives
زنان بهترین [M] هستند,{} بهترین <mask> هستند,زنان,plural,female,adjectives
زنان [M] بزرگ هستند,{} <mask> بزرگ هستند,زنان,plural,female,adjectives
زنان به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,زنان,plural,female,adjectives
زنان [M] هستند,{} <mask> هستند,زنان,plural,female,adjectives
مادران بیشترین [M] هستند,{} بیشترین <mask> هستند,مادران,plural,female,adjectives
مادران بهترین [M] هستند,{} بهترین <mask> هستند,مادران,plural,female,adjectives
مادران [M] بزرگ هستند,{} <mask> بزرگ هستند,مادران,plural,female,adjectives
مادران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,مادران,plural,female,adjectives
مادران [M] هستند,{} <mask> هستند,مادران,plural,female,adjectives
دختران بیشترین [M] هستند,{} بیشترین <mask> هستند,دختران,plural,female,adjectives
دختران بهترین [M] هستند,{} بهترین <mask> هستند,دختران,plural,female,adjectives
دختران [M] بزرگ هستند,{} <mask> بزرگ هستند,دختران,plural,female,adjectives
دختران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دختران,plural,female,adjectives
دختران [M] هستند,{} <mask> هستند,دختران,plural,female,adjectives
دختران بیشترین [M] هستند,{} بیشترین <mask> هستند,دختران,plural,female,adjectives
دختران بهترین [M] هستند,{} بهترین <mask> هستند,دختران,plural,female,adjectives
دختران [M] بزرگ هستند,{} <mask> بزرگ هستند,دختران,plural,female,adjectives
دختران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دختران,plural,female,adjectives
دختران [M] هستند,{} <mask> هستند,دختران,plural,female,adjectives
زنان بیشترین [M] هستند,{} بیشترین <mask> هستند,زنان,plural,female,adjectives
زنان بهترین [M] هستند,{} بهترین <mask> هستند,زنان,plural,female,adjectives
زنان [M] بزرگ هستند,{} <mask> بزرگ هستند,زنان,plural,female,adjectives
زنان به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,زنان,plural,female,adjectives
زنان [M] هستند,{} <mask> هستند,زنان,plural,female,adjectives
خواهران بیشترین [M] هستند,{} بیشترین <mask> هستند,خواهران,plural,female,adjectives
خواهران بهترین [M] هستند,{} بهترین <mask> هستند,خواهران,plural,female,adjectives
خواهران [M] بزرگ هستند,{} <mask> بزرگ هستند,خواهران,plural,female,adjectives
خواهران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,خواهران,plural,female,adjectives
خواهران [M] هستند,{} <mask> هستند,خواهران,plural,female,adjectives
عمه ها بیشترین [M] هستند,{} بیشترین <mask> هستند,عمه ها,plural,female,adjectives
عمه ها بهترین [M] هستند,{} بهترین <mask> هستند,عمه ها,plural,female,adjectives
عمه ها [M] بزرگ هستند,{} <mask> بزرگ هستند,عمه ها,plural,female,adjectives
عمه ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,عمه ها,plural,female,adjectives
عمه ها [M] هستند,{} <mask> هستند,عمه ها,plural,female,adjectives
خانم ها بیشترین [M] هستند,{} بیشترین <mask> هستند,خانم ها,plural,female,adjectives
خانم ها بهترین [M] هستند,{} بهترین <mask> هستند,خانم ها,plural,female,adjectives
خانم ها [M] بزرگ هستند,{} <mask> بزرگ هستند,خانم ها,plural,female,adjectives
خانم ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,خانم ها,plural,female,adjectives
خانم ها [M] هستند,{} <mask> هستند,خانم ها,plural,female,adjectives
عروس ها بیشترین [M] هستند,{} بیشترین <mask> هستند,عروس ها,plural,female,adjectives
عروس ها بهترین [M] هستند,{} بهترین <mask> هستند,عروس ها,plural,female,adjectives
عروس ها [M] بزرگ هستند,{} <mask> بزرگ هستند,عروس ها,plural,female,adjectives
عروس ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,عروس ها,plural,female,adjectives
عروس ها [M] هستند,{} <mask> هستند,عروس ها,plural,female,adjectives
دوست دختران بیشترین [M] هستند,{} بیشترین <mask> هستند,دوست دختران,plural,female,adjectives
دوست دختران بهترین [M] هستند,{} بهترین <mask> هستند,دوست دختران,plural,female,adjectives
دوست دختران [M] بزرگ هستند,{} <mask> بزرگ هستند,دوست دختران,plural,female,adjectives
دوست دختران به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دوست دختران,plural,female,adjectives
دوست دختران [M] هستند,{} <mask> هستند,دوست دختران,plural,female,adjectives
خاله ها بیشترین [M] هستند,{} بیشترین <mask> هستند,خاله ها,plural,female,adjectives
خاله ها بهترین [M] هستند,{} بهترین <mask> هستند,خاله ها,plural,female,adjectives
خاله ها [M] بزرگ هستند,{} <mask> بزرگ هستند,خاله ها,plural,female,adjectives
خاله ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,خاله ها,plural,female,adjectives
خاله ها [M] هستند,{} <mask> هستند,خاله ها,plural,female,adjectives
دختر دایی ها بیشترین [M] هستند,{} بیشترین <mask> هستند,دختر دایی ها,plural,female,adjectives
دختر دایی ها بهترین [M] هستند,{} بهترین <mask> هستند,دختر دایی ها,plural,female,adjectives
دختر دایی ها [M] بزرگ هستند,{} <mask> بزرگ هستند,دختر دایی ها,plural,female,adjectives
دختر دایی ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دختر دایی ها,plural,female,adjectives
دختر دایی ها [M] هستند,{} <mask> هستند,دختر دایی ها,plural,female,adjectives
دختر خاله ها بیشترین [M] هستند,{} بیشترین <mask> هستند,دختر خاله ها,plural,female,adjectives
دختر خاله ها بهترین [M] هستند,{} بهترین <mask> هستند,دختر خاله ها,plural,female,adjectives
دختر خاله ها [M] بزرگ هستند,{} <mask> بزرگ هستند,دختر خاله ها,plural,female,adjectives
دختر خاله ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دختر خاله ها,plural,female,adjectives
دختر خاله ها [M] هستند,{} <mask> هستند,دختر خاله ها,plural,female,adjectives
دختر عمه ها بیشترین [M] هستند,{} بیشترین <mask> هستند,دختر عمه ها,plural,female,adjectives
دختر عمه ها بهترین [M] هستند,{} بهترین <mask> هستند,دختر عمه ها,plural,female,adjectives
دختر عمه ها [M] بزرگ هستند,{} <mask> بزرگ هستند,دختر عمه ها,plural,female,adjectives
دختر عمه ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دختر عمه ها,plural,female,adjectives
دختر عمه ها [M] هستند,{} <mask> هستند,دختر عمه ها,plural,female,adjectives
دخترعمو ها بیشترین [M] هستند,{} بیشترین <mask> هستند,دخترعمو ها,plural,female,adjectives
دخترعمو ها بهترین [M] هستند,{} بهترین <mask> هستند,دخترعمو ها,plural,female,adjectives
دخترعمو ها [M] بزرگ هستند,{} <mask> بزرگ هستند,دخترعمو ها,plural,female,adjectives
دخترعمو ها به عنوان [M] شناخته می شوند,{} به عنوان <mask> شناخته می شوند,دخترعمو ها,plural,female,adjectives
دخترعمو ها [M] هستند,{} <mask> هستند,دخترعمو ها,plural,female,adjectives
